['13:41:18.818459', 'Face detecting properly.', 'Mouth Closed', [('person', 0.5654793381690979)]]
['13:41:21.002724', 'Face detecting properly.', 'Mouth Closed', [('person', 0.5962507128715515)]]
['13:41:21.173526', 'Face detecting properly.', 'Mouth Closed', [('person', 0.745881199836731)]]
['13:41:21.376728', 'Face detecting properly.', 'Mouth Closed', [('person', 0.5711854696273804)]]
['13:41:21.563897', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7235944867134094)]]
['13:41:21.719295', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7507641315460205)]]
['13:41:26.161177', 'Face detecting properly.', 'Mouth Closed', [('person', 0.5205776691436768)]]
['13:41:26.398163', 'Face detecting properly.', 'Mouth Closed', [('person', 0.801102876663208)]]
['13:41:26.585420', 'Face detecting properly.', 'Mouth Closed', [('person', 0.848021388053894)]]
['13:41:26.742913', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7655186057090759)]]
['13:41:26.881332', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8400095701217651)]]
['13:41:27.035386', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8456385135650635)]]
['13:41:27.192826', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8137527704238892)]]
['13:41:27.349158', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8464173674583435)]]
['13:41:27.492731', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7717733383178711)]]
['13:41:27.648572', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8171326518058777)]]
['13:41:27.806949', 'Face detecting properly.', 'Mouth Closed', [('person', 0.742287814617157)]]
['13:41:27.964264', 'Face detecting properly.', 'Mouth Closed', [('person', 0.798479437828064)]]
['13:41:28.120904', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7697155475616455)]]
['13:41:28.276782', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8412414193153381)]]
['13:41:28.433996', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7987344861030579)]]
['13:41:28.573844', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7608168125152588)]]
['13:41:28.713477', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8300439715385437)]]
['13:41:28.869186', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7433661222457886)]]
['13:41:29.010881', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7404333353042603)]]
['13:41:29.166095', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8515732288360596)]]
['13:41:29.320634', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8608654737472534)]]
['13:41:29.477362', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7273767590522766)]]
['13:41:29.631903', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7645631432533264)]]
['13:41:29.789460', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8238747119903564)]]
['13:41:29.947809', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8082916736602783)]]
['13:41:30.120783', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7450518012046814)]]
['13:41:30.323339', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7331569194793701)]]
['13:41:30.509971', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7046161890029907)]]
['13:41:30.701500', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6838568449020386)]]
['13:41:30.904753', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6704424619674683)]]
['13:41:31.045600', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6956651210784912)]]
['13:41:31.187562', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6211555600166321)]]
['13:41:31.326841', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7033984065055847)]]
['13:41:31.452440', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6727427840232849)]]
['13:41:31.626157', 'Face detecting properly.', 'Mouth Closed', [('person', 0.5808708667755127)]]
['13:41:31.817136', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7065545916557312)]]
['13:41:32.015703', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7592543959617615)]]
['13:41:32.202399', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6388970017433167)]]
['13:41:32.406431', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7751941084861755)]]
['13:41:32.576492', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7897037863731384)]]
['13:41:32.729810', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7763991951942444)]]
['13:41:32.869744', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7628966569900513)]]
['13:41:33.025565', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8403517603874207)]]
['13:41:33.214520', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7852542996406555)]]
['13:41:33.385971', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7635698914527893)]]
['13:41:33.562007', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8099926114082336)]]
['13:41:33.701526', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7716890573501587)]]
['13:41:33.855802', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7886941432952881)]]
['13:41:33.997002', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8101591467857361)]]
['13:41:34.136401', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8372663259506226)]]
['13:41:34.322831', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8305310606956482)]]
['13:41:34.526584', 'Face detecting properly.', 'Mouth Closed', [('person', 0.770931601524353)]]
['13:41:34.698066', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7244547605514526)]]
['13:41:34.903936', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8292478919029236)]]
['13:41:35.060369', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7915819883346558)]]
['13:41:35.203920', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7625190019607544)]]
['13:41:35.358713', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8219555020332336)]]
['13:41:35.500091', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8306471705436707)]]
['13:41:35.659410', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7721366882324219)]]
['13:41:35.800028', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8396381139755249)]]
['13:41:35.926083', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7390758395195007)]]
['13:41:36.069156', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8938167691230774)]]
['13:41:36.257903', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7788231372833252)]]
['13:42:03.199378', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8046726584434509)]]
['13:42:03.419210', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6805773377418518)]]
['13:42:03.571383', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7115137577056885)]]
['13:42:03.725939', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7820944786071777)]]
['13:42:03.898460', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7779771089553833)]]
['13:42:04.038788', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7399585843086243)]]
['13:42:04.177489', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7858629822731018)]]
['13:42:04.318451', 'Face detecting properly.', 'Mouth Closed', [('person', 0.806248128414154)]]
['13:42:04.460869', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8616659045219421)]]
['13:42:04.601100', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7849899530410767)]]
['13:42:04.741396', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8447813391685486)]]
['13:42:04.897761', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8327212929725647)]]
['13:42:13.398429', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7423336505889893)]]
['13:42:13.554337', 'Face detecting properly.', 'Mouth Closed', [('person', 0.827502965927124)]]
['13:42:13.695679', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7493350505828857)]]
['13:42:13.852891', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7493420243263245)]]
['13:42:14.011188', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8191080689430237)]]
['13:42:14.166838', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7975208759307861)]]
['13:42:14.321728', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8260461688041687)]]
['13:42:14.476529', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7993705868721008)]]
['13:42:14.617503', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7765495181083679)]]
['13:42:14.773933', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7306244969367981)]]
['13:42:14.930230', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8490234613418579)]]
['13:42:15.086378', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7820271253585815)]]
['13:42:15.243335', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8242820501327515)]]
['13:42:15.398991', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7718585133552551)]]
['13:42:15.538398', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6751073002815247)]]
['13:42:15.679745', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8512569665908813)]]
['13:42:15.819385', 'Face detecting properly.', 'Mouth Closed', [('person', 0.5276396870613098)]]
['13:42:15.974275', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8340613842010498)]]
['13:42:16.118297', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8157925605773926)]]
['13:42:16.272006', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8041605353355408)]]
['13:42:16.426899', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8354853391647339)]]
['13:42:16.582051', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7573228478431702)]]
['13:42:16.738078', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7626010179519653)]]
['13:42:16.893197', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7668748497962952)]]
['13:42:17.049579', 'Face detecting properly.', 'Mouth Closed', [('person', 0.828839898109436)]]
['13:42:17.190032', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8095235824584961)]]
['13:42:17.346516', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7578311562538147)]]
['13:42:17.501916', 'Face detecting properly.', 'Mouth Closed', [('person', 0.750633955001831)]]
['13:42:17.644600', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7035759091377258)]]
['13:42:17.787831', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7675144672393799)]]
['13:42:17.944393', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6801140308380127)]]
['13:42:18.084002', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7209690809249878)]]
['13:42:18.237479', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7526305913925171)]]
['13:42:18.394582', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8083591461181641)]]
['13:42:18.580598', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7060604095458984)]]
['13:42:18.767424', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7235143184661865)]]
['13:42:18.925981', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6927968263626099)]]
['13:42:19.127567', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6996191740036011)]]
['13:42:19.298098', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6366723775863647)]]
['13:42:19.453906', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7713914513587952)]]
['13:42:19.594526', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6948889493942261)]]
['13:42:19.735711', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6596885323524475)]]
['13:42:19.878260', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7267671823501587)]]
['13:42:20.031125', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7406741976737976)]]
['13:42:20.172690', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6391268968582153)]]
['13:42:20.312698', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6842995882034302)]]
['13:42:20.440840', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7715976238250732)]]
['13:42:20.575500', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8127898573875427)]]
['13:42:20.746636', 'Face detecting properly.', 'Mouth Closed', [('person', 0.732327401638031)]]
['13:42:20.920242', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6979991793632507)]]
['13:42:21.122330', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7726250886917114)]]
['13:42:21.311769', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7504494786262512)]]
['13:42:21.515037', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6074162125587463)]]
['13:42:21.718188', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7987999320030212)]]
['13:42:21.874201', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7418581247329712)]]
['13:42:22.014877', 'Face detecting properly.', 'Mouth Closed', [('person', 0.767223596572876)]]
['13:42:22.157951', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7547866702079773)]]
['13:42:22.346745', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6754676699638367)]]
['13:42:22.549837', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7553998231887817)]]
['13:42:22.723643', 'Face detecting properly.', 'Mouth Closed', [('person', 0.698475182056427)]]
['13:42:22.878678', 'Face detecting properly.', 'Mouth Closed', [('person', 0.732684850692749)]]
['13:42:23.069907', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6788285970687866)]]
['13:42:23.240499', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7424007058143616)]]
['13:42:23.400097', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6958922147750854)]]
['13:42:23.540413', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7107580304145813)]]
['13:42:23.682942', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6534084677696228)]]
['13:42:23.837475', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7393743991851807)]]
['13:42:23.993084', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6720468401908875)]]
['13:42:24.148622', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7650765180587769)]]
['13:42:24.289396', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7775583267211914)]]
['13:42:24.430535', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7623077034950256)]]
['13:42:24.584537', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8585059642791748)]]
['13:42:24.724113', 'Face detecting properly.', 'Mouth Closed', [('person', 0.784821093082428)]]
['13:42:24.864437', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7051551938056946)]]
['13:42:25.003526', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8003248572349548)]]
['13:42:25.129193', 'Face detecting properly.', 'Mouth Closed', [('person', 0.73638516664505)]]
['13:42:25.268331', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7607853412628174)]]
['13:42:25.440897', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7327595353126526)]]
['13:42:25.615550', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8251906037330627)]]
['13:42:25.786421', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8305615186691284)]]
['13:42:25.988825', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7603997588157654)]]
['13:42:26.158390', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8350995182991028)]]
['13:42:26.378403', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7049988508224487)]]
['13:42:26.579660', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7680256962776184)]]
['13:42:26.719979', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6448808908462524)]]
['13:42:26.861418', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7604365944862366)]]
['13:42:27.003225', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7783558368682861)]]
['13:42:27.172547', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7592217326164246)]]
['13:42:27.361649', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7772111892700195)]]
['13:42:27.516862', 'Face detecting properly.', 'Mouth Closed', [('person', 0.839865505695343)]]
